제목,발행년도,작가,출판사,별점
Until You (Friarsgate Inheritance Book 2),2005,Bertrice Small,"Berkley; Reprint edition (April 5, 2005)",4.7
The Hex Witch of Seldom,2015,Nancy Springer,"Open Road Media Sci-Fi & Fantasy (May 19, 2015)",4.7
Crap My Ghost Says: The Hard Beginning,2019,Mary Stein Myers,"Upstairs Basement Publishing House (August 27, 2019)",4.7
The Order of Things,2015,Graham Hurley,"Orion; Reprint edition (November 19, 2015)",4.3
Don't Let Go,2018,Michel Bussi,"World Noir; Translation edition (October 23, 2018)",4.1
Fractured Steel (The Imperfect Metal Series Book 1),2014,T.J. Loveless,"Rough Road Productions; 3rd edition (February 13, 2014)",4.3
Blood Ties,2013,Judith E. French,"Montlake Romance; Reprint edition (June 25, 2013)",4.0
A Black Theology of Liberation - Fortieth Anniversary Edition,2011,James H. Cone,"ORBIS; 40th Anniversary edition (October 19, 2011)",4.7
Diary of a Serial Killer,2012,B. Cameron Lee,"B. Cameron Lee - Wordsmorph; 1st edition (May 27, 2012)",4.2
Glass House,2014,Chris Wiltz,"Open Road Media Mystery & Thriller (July 1, 2014)",4.0
Ghost Moth,2013,Michele Forbes,"Penguin Canada (October 29, 2013)",3.5
In America (Wayfarer Trilogy Book 3),2016,Nina Romano,"Turner (July 19, 2016)",4.8
Shroud for the Archbishop (Sister Fidelma Mysteries Book 2): A thrilling medieval mystery filled with high-stakes suspense,2010,Peter Tremayne,"Headline; New Ed edition (February 4, 2010)",4.4
Probably Magic: A Letter for Rosa (Probably Magic Series Book 1),2020,Jo Jewell,"Pen It! Publications, LLC (February 27, 2020)",4.7
Crafting with Cat Hair: Cute Handicrafts to Make with Your Cat,2013,Kaori Tsutaya,"Quirk Books (May 21, 2013)",4.7
The Earthquake Bird: A Novel,2019,Susanna Jones,"Penguin Books (September 10, 2019)",4.2
A Spy with Scruples,2020,Gary Dickson,"River Grove Books (March 1, 2020)",3.7
Grimgar of Fantasy and Ash: Volume 19,2022,Ao Jyumonji,"J-Novel Club (December 29, 2022)",4.3
Death Rituals,2017,Josh Hancock,"Burning Bulb Publishing; 1st edition (September 16, 2017)",5.0
Le café des petits miracles (French Edition),2018,Nicolas Barreau,"Héloïse d'Ormesson (February 8, 2018)",4.0
The Day's Wake (Tale of Infidels Book 2),2019,Erik A. Otto,"Sagis Press; 1st edition (May 14, 2019)",3.8
Shadow Stalker Part 1 (Episodes 1 - 6) (Shadow Stalker Bundles),2015,Renee Scattergood,"Renee Scattergood; 1st edition (April 18, 2015)",4.4
Monstrous (Blood of Cain Book 1),2016,J.L. Murray,"Hellzapoppin Press; 3rd edition (December 6, 2016)",4.3
Dames Don't Care (Lemmy Caution Book 136),2012,Peter Cheyney,"The Murder Room (September 6, 2012)",3.8
Revelation of the End (The Throne of Satan Chronicles Book 1),2015,Hepzibah Nanna,"The Lion Triumphs Ministries (November 9, 2015)",4.3
Spitting Devil (Jonathan Stride Book 6),2012,Brian Freeman,"Quercus (March 12, 2012)",4.0
Stingers,2017,Kenneth Passan,"Severed Press (August 21, 2017)",4.2
Makes Me Wanna Holler: A Young Black Man in America,2011,Nathan McCall,"Vintage; Reprint edition (January 26, 2011)",4.7
Promises To The Fallen: A Vietnam War Novel,2019,Glyn Haynie,"Glyn Haynie (November 17, 2019)",4.6
"Without Roots: Europe, Relativism, Christianity, Islam",2007,Pope Benedict XVI,"Basic Books (March 9, 2007)",4.5
"Celia, a Slave (Gender and Slavery Ser. Book 5)",2011,Melton Alonza McLaurin,"University of Georgia Press (March 15, 2011)",4.5
The Harder They Fall (Kindle Single),2017,Adam Croft,"Amazon Publishing (June 20, 2017)",3.9
CONSTABLE AROUND THE HOUSES a perfect feel-good read from one of Britain’s best-loved authors (Constable Nick Mystery Book 23),2021,Nicholas Rhea,"Joffe Books crime thriller and cozy mystery suspense (May 6, 2021)",4.5
Star Island (Skink Book 6),2011,Carl Hiaasen,"Sphere (March 10, 2011)",4.3
The Devil of Nanking,2011,Mo Hayder,"Grove Press; Reprint edition (February 24, 2011)",4.3
Tiny House Basics: Living the Good Life in Small Spaces,2017,Joshua Engberg,"Mango Media (May 23, 2017)",4.4
Failure Frame: I Became the Strongest and Annihilated Everything With Low-Level Spells (Light Novel) Vol. 1,2020,Kaoru Sinozaki,"Seven Seas Entertainment; Illustrated edition (December 10, 2020)",4.6
Tempt: The Kresova Vampire Harems: Aurora,2018,Graceley Knox,"Chaotic Press, LLC (March 15, 2018)",4.3
"Boundless: Upgrade Your Brain, Optimize Your Body & Defy Aging",2020,Ben Greenfield,"Victory Belt Publishing (January 21, 2020)",4.7
"Lifestyle Worship: Poems, Prayers & Ministry Resources",2014,Steven Brown,"Steven J. Brown; 1st edition (November 23, 2014)",4.1
Blue Rondo (Inspector Troy series Book 5),2012,John Lawton,"Grove Press UK; Main edition (March 30, 2012)",4.3
The Curious Case of the Purloined Hard Drive (Sherlock Holmes in Silicon Valley),2010,CP Haus,"CP Haus; Second edition (August 17, 2010)",4.0
Insight Guides Pocket France (Travel Guide eBook),2016,Insight Guides,"Insight; Poc Fol Pa edition (December 1, 2016)",3.4
Forbidden Cure Part Two: Revelations: A Chris Ravello Medical Thriller,2018,William Rubin,"Crystal Vision Publishing (September 16, 2018)",4.0
The Seven Dials Mystery (Superintendent Battle Book 2),2010,Agatha Christie,"William Morrow Paperbacks; Reissue edition (February 10, 2010)",4.4
"A Soldier’s Farewell (Man of Conflict Series, Book 6)",2017,Andrew Wareham,"The Electronic Book Company (October 2, 2017)",4.5
Killer Ambition: A Rachel Knight novel,2013,Marcia Clark,"Mulholland Books (June 6, 2013)",4.6
"Dudley the Dinosaur: Short Stories, Games, Jokes, and More! (Fun Time Reader Book 46)",2015,Uncle Amon,"Hey Sup Bye Publishing (May 4, 2015)",4.4
Witness to an Extreme Century: A Memoir,2011,Robert Jay Lifton,"Free Press (June 14, 2011)",4.2
Unwrapping Jordan,2020,Tiana Laveen,"The Lion's Den (December 18, 2020)",4.5
My Brilliant Career/My Career Goes Bung (A&R Classics),2013,Miles Franklin,"Angus & Robertson (March 1, 2013)",4.6
Daughter of Siena,2011,Marina Fiorato,"Hodder & Stoughton (May 26, 2011)",4.3
The Fire Rose (Elemental Masters Book 1),2014,Mercedes Lackey,"Baen Books; 1st edition (January 9, 2014)",4.6
Charters and Caldicott,2015,Stella Bingham,"Dean Street Press (March 2, 2015)",4.3
Nonbinary: Memoirs of Gender and Identity,2019,Micah Rajunov,"Columbia University Press (April 9, 2019)",4.7
Spiked (The Sundance Series Book 1),2019,C.P. Rider,"V.C. Group, LLC (August 14, 2019)",4.5
The Little Old Lady Strikes Again: A Novel,2015,C. Ingelman-Sundberg,"HarperCollins Publishers (March 17, 2015)",4.2
Whispers at Midnight,2003,Karen Robards,"Atria Books; Reprint edition (January 1, 2003)",4.4
The Best American Travel Writing 2017,2017,Lauren Collins,"Mariner Books (October 3, 2017)",4.1
"Death Masks (The Dresden Files, Book 5)",2003,Jim Butcher,"Roc (August 5, 2003)",4.6
Warcraft: Lord of the Clans (Warcraft: Blizzard Legends),2018,Christie Golden,"Blizzard Entertainment (October 15, 2018)",4.7
"Mike Meyers' CompTIA Network+ Guide Exam N10-005, Third Edition (CompTIA Authorized)",2012,Michael Meyers,"McGraw Hill; 3rd edition (February 4, 2012)",4.6
Practical Object-Oriented Design: An Agile Primer Using Ruby,2018,Sandi Metz,"Addison-Wesley Professional; 2nd edition (July 10, 2018)",4.8
Lied,2022,K'Anne Meinel,"Shadoe Publishing, LLC (July 29, 2022)",4.3
Dying Scream,2011,Mary Burton,"Penguin (May 12, 2011)",4.5
Denver Pack Christmas,2013,Jana Leigh,"JK Publishing, Inc. (March 20, 2013)",4.2
Finding Alice (Miller Mysteries Book 1),2020,Rebecca Carlyle,"Ink and Quill Publications (July 1, 2020)",4.2
The Rime of the Ancient Mariner and Other Poems (with an Introduction by Julian B. Abernethy),2018,Samuel Taylor Coleridge,"Digireads.com Publishing (September 27, 2018)",4.5
"Write With AI: Guide for Fiction and Nonfiction Authors: Using Artificial Intelligence like ChatGPT to Generate Ideas, Produce Content, and Future-Proof Your Writing Career",2023,Rachelle Ayala,"Lovely Hearts Press (March 25, 2023)",4.6
Joy of Witchcraft (Washington Witches (Magical Washington) Book 5),2015,Mindy Klasky,"Book View Cafe (August 4, 2015)",4.5
Peppermint Twist,2011,Gina Ranalli,"Bloo Skize Books (June 19, 2011)",4.0
"Secret Baby, Second Chance (Sons of Stillwater Book 3)",2018,Jane Godman,"Harlequin Romantic Suspense; Original edition (January 1, 2018)",4.8
Tapiser,2019,Anne Britting Oleson,"Bedazzled Ink Publishing (February 14, 2019)",4.7
Night Terrors Vol. 25: Short Horror Stories Anthology,2023,Ron Ripley,"Scare Street (February 9, 2023)",4.2
The Angel's Crime,2017,Preston Pairo,"Crossroad Press (October 9, 2017)",5.0
The Illustrated Rubaiyat of Omar Khayyam - Special Edition (Color),2010,Omar Khayyam,"Special Edition Books (March 3, 2010)",3.7
Rhymeland Everlasting: When Wingy Pigs Flew,2022,Francessca Bella,"Bella Rariora (January 19, 2022)",4.7
Sei du selbst: Geschichte der Philosophie 3 (German Edition),2019,Richard David Precht,"Goldmann Verlag; Originalausgabe edition (October 14, 2019)",4.6
"Think Fast, Mr. Moto (The Mr. Moto Novels)",2015,John P. Marquand,"Open Road Media Mystery & Thriller (August 18, 2015)",4.2
Bedsit Disco Queen: How I grew up and tried to be a pop star,2013,Tracey Thorn,"Virago; Reprint edition (February 7, 2013)",4.5
Tao Te Ching (Legge): A New Translation and Commentary,2013,Lao-Tzu,"Start Publishing LLC (February 6, 2013)",4.1
"Tobias, a Traveler: A drama in two acts",2011,Joseph P. Rogers,"St. Louis Bookstore (October 6, 2011)",4.0
"Rock, Paper, Scissors (Grave Marker Book 2)",2015,Sebastian Bendix,"Grinning Skull Press (October 1, 2015)",4.2
Colt's Crisis (Colt Garrett Book 1),2020,Mr Tom Carroll,"Kirby Publishing, LLC; 1st edition (December 3, 2020)",4.6
Angel of Death (Agnes Carmichael Mysteries Book 3),2017,Anthea Cohen,"Lume Books (April 4, 2017)",3.9
Unwed and Dead (The Dead Ex Files Book 1),2017,Claire Kane,"Breezy Reads (June 15, 2017)",4.1
"Black & Decker The Complete Photo Guide to Home Repair, 4th Edition (Black & Decker Complete Guide)",2016,Editors of Cool Springs Press,"Cool Springs Press; 4th edition (April 1, 2016)",4.5
The Legend of Rock Paper Scissors,2020,Drew Daywalt,"Balzer + Bray (February 11, 2020)",4.9
Proposal: A Mediator Novella (Kindle Single),2016,Meg Cabot,"Avon (January 19, 2016)",4.5
Traitor's Exit (Boysie Oakes Thriller Book 6),2015,John E. Gardner,"Lume Books (July 16, 2015)",3.9
The Spy Across the Table (A Jim Brodie Thriller Book 4),2017,Barry Lancet,"Simon & Schuster; Reprint edition (June 20, 2017)",4.5
The Case of the Howling Dog (Perry Mason Series Book 4),2012,Erle Stanley Gardner,"Della Street Press (July 2, 2012)",4.5
First Spark: A Young Adult Dystopian Novel (Prequel) (Wall of Fire Book 4),2021,Melanie Tays,"Goldlight Enterprises LLC (June 1, 2021)",4.9
One Tooth Tim & Pirate Jim,2014,Peter Doerfler,"Doerfler Landerl OTT; 1st edition (May 18, 2014)",5.0
Silas Robb: Of Saints and Sinners: A Dark Urban Fantasy,2018,Erik Lynd,"Broken Gods Press; 2nd edition (July 31, 2018)",4.6
Snow Creek: An absolutely gripping mystery thriller (Detective Megan Carpenter Book 1),2019,Gregg Olsen,"Bookouture (November 18, 2019)",4.2
Eden Crossing: A Mystery Thriller (The Ethereal Mysteries Series Book 2),2021,David Stockar,"Wailele Press; 2nd edition (June 29, 2021)",4.8
Cowboys and Cattleland,2018,H. H. Halsell,"Borodino Books (February 27, 2018)",4.5
Raja Williams Mystery Thriller Series: Books 7-9 (The Raja Williams Series Boxset Book 3),2019,Jack Thompson,"Crackerjack Publishing (April 7, 2019)",4.6
Harlequin Intrigue May 2018 - Box Set 1 of 2: An Anthology,2018,B. J. Daniels,"Harlequin Intrigue (May 1, 2018)",4.3
Bone Chase,2020,Weston Ochse,"Gallery / Saga Press (December 1, 2020)",3.8
Requiem's Prayer (Dawn of Dragons Book 3),2014,Daniel Arenson,"Moonclipse (October 15, 2014)",4.5
Awakened Thirst (Blooded World: Awakened Thirst Book 1),2019,A.D. Key,"Candlewick Publishing (March 26, 2019)",4.7
"Oh, Snow!",2022,Christine Ford,"formerly published by Harper Festival; 2nd edition (October 28, 2022)",4.6
Marine Under the Mistletoe (Always a Marine series Book 19),2013,Heather Long,"Decadent Publishing Company, LLC (November 11, 2013)",4.3
"The Hungry Ghosts: The stunning historical fiction novel shortlisted for the Commonwealth Writer’s Prize, the Waterstones Book Circle Award and the Desmond Elliott Prize",2009,Anne Berry,"The Borough Press (December 8, 2009)",3.9
How do I love thee: Love Poetry Journal,2021,Alta H Mabin,"Alta H Mabin (December 8, 2021)",5.0
Betrayal Walk (A Lacey Fitzpatrick and Sam Firecloud Mystery Book 36),2022,Melissa Bowersock,"New Moon Publishing (November 7, 2022)",4.5
Don Quixote (Signet Classics),2011,Miguel Cervantes,"Signet; Reprint edition (April 5, 2011)",4.6
Acting on Impulse – Contemporary Short Stories by Georgette Heyer,2019,Georgette Heyer,"Overlord Publishing (August 16, 2019)",4.0
Spungunion,2020,John Boden,"Fungasm Press (February 19, 2020)",4.5
The Writers Guide to Realistic Dialogue: Updated 2nd Edition (Fiction Writing Tools Book 4),2014,S. A. Soule,"FWT Press; 2nd edition (January 26, 2014)",4.4
Synergeist: The Haunted Cubicle,2015,Daniel M Strickland,"Matter Deep Publishing (September 19, 2015)",4.3
The Guernseyman (The Richard Delancey Novels Book 1),2001,Cyril Northcote Parkinson,"McBooks Press (October 1, 2001)",4.0
Orsinian Tales: A Library of America eBook Classic,2016,Ursula K. Le Guin,"Library of America (September 6, 2016)",4.3
Neon Aliens Ate My Homework and Other Poems: A Book of Poetry,2015,Nick Cannon,"Scholastic Inc. (February 24, 2015)",4.6
"Murder Being Once Done: an enthralling and engrossing Wexford mystery from the award-winning queen of crime, Ruth Rendell (Inspector Wexford series Book 7)",2010,Ruth Rendell,"Cornerstone Digital (January 20, 2010)",4.2
The Odyssey (Signet Classics),2015,Homer,"Signet; Reissue edition (December 1, 2015)",4.3
Exile on Bridge Street: A Novel (Auld Irishtown Trilogy Book 2),2016,Eamon Loingsigh,"Three Rooms Press (September 26, 2016)",4.9
"Fake Money, Blue Smoke",2022,Josh Haven,"Mysterious Press (December 6, 2022)",4.2
Escape To Vampire Dam (Dark Heart Heroes),2013,S.N. McKibben,"Troll River Publications (July 7, 2013)",2.8
Adventures in the Human Spirit (2-downloads),2013,Philip E. Bishop,"Pearson; 7th edition (January 3, 2013)",4.3
Glutton Guide Shanghai: The Hungry Traveler’s Guidebook (Updated 2018 Edition) (Food Guide),2015,Glutton Guide,"Glutton Guide; 3rd edition (July 23, 2015)",4.4
People Die: A Novel,2002,Kevin Wignall,"Simon & Schuster; Reprint edition (April 3, 2002)",4.1
How To Self-Edit Deadly Crime Thrillers: A No BS Guide With 101 Killer Tips (How To Write Deadly Crime Fiction Book 2),2016,Garry Rodgers,"DyingWords Digital & Print Media Canada (April 5, 2016)",4.6
Gone Home for Angels: A Novel of the American Civil War (The Siler Saga Book 2),2015,Allen F Mahon,"S, D & C Publishing; 2nd edition (November 1, 2015)",4.6
Bound By Birth,2009,Randall R Wheeler,"Createspace (May 28, 2009)",4.3
Written in Blood: The Sunday Times Number One Bestseller,2020,Chris Carter,"Simon & Schuster UK (July 23, 2020)",4.6
Minimanual of the Urban Guerrilla,2011,Carlos Marighella,"praetorian-press.com (January 24, 2011)",4.3
Learning the bash Shell: Unix Shell Programming (In a Nutshell (O'Reilly)),2005,Cameron Newham,"O'Reilly Media; 3rd edition (March 29, 2005)",4.5
Wraith Wolf (Cloak Games Tales Book 1),2016,Jonathan Moeller,"Azure Flame Media, LLC (May 14, 2016)",4.4
Bookburners: The Complete Season 1,2017,Max Gladstone,"Realm (January 24, 2017)",4.1
The Lake District Murder (British Library Crime Classics),2014,John Bude,"British Library Publishing (February 19, 2014)",3.8
The Dreaming Jewels,2013,Theodore Sturgeon,"Open Road Media Sci-Fi & Fantasy; 1st Vintage Books ed edition (April 30, 2013)",4.3
Seven Grams of Lead,2014,Keith Thomson,"Anchor (February 25, 2014)",3.8
The Unwritten Rules of Professional Etiquette: Building a Positive Reputation in Graduate School,2020,Ryan Sharma,"Habile Press (July 5, 2020)",4.4
Cherry Red Summer (Emely and Elyas Book 1),2014,Carina Bartsch,"Amazon Crossing; Reprint edition (June 24, 2014)",3.8
Parent Hacks: 134 Genius Shortcuts for Life with Kids,2016,Asha Dornfest,"Workman Publishing Company (April 5, 2016)",4.5
Hermetic Magic: The Postmodern Magical Papyrus of Abaris,1995,Stephen E. Flowers,"Weiser Books (January 15, 1995)",4.6
In the Blood: Book One of the Blood Royal Saga,2017,Delia Remington,"Eagle Heights LLC; 1st edition (July 1, 2017)",3.9
Chain of Evidence (Peninsula Crimes Book 4),2007,Garry Disher,"Text Publishing (February 6, 2007)",4.2
COLT MAGNUM,2016,Carlton Loftin,"CARLTON LOFTIN; 1st edition (February 3, 2016)",3.7
Shift (The Shifters Book 5),2010,Rachel Vincent,"MIRA; Original edition (February 17, 2010)",4.6
"Data Governance: How to Design, Deploy and Sustain an Effective Data Governance Program (The Morgan Kaufmann Series on Business Intelligence)",2012,John Ladley,"Morgan Kaufmann; 1st edition (November 7, 2012)",4.2
The Unusual Life of Edna Walling: A biography,2005,Sara Hardy,"Allen & Unwin (April 1, 2005)",3.7
Into the Narrowdark (Last King of Osten Ard Book 3),2022,Tad Williams,"DAW (July 12, 2022)",4.7
Slingshot Summer,2022,Christy Hoss,"Elk Lake Publishing, Inc.; 1st edition (June 2, 2022)",4.8
The Jewel in the Crown (The Raj Quartet Book 1),2011,Paul Scott,"The University of Chicago Press (September 30, 2011)",4.3
The Medium Place (A Lost Souls Lane Mystery Book 2),2019,Erin Huss,"EH Publications (May 14, 2019)",4.6
Animals & Bugs INC.: None of the STINK (Animals & Bugs INC. Series Book 1),2015,Joshua Hester,"Joshua L Hester; 1st edition (February 26, 2015)",4.6
Dear Math: Why Kids Hate Math and What Teachers Can Do About It,2022,Sarah Strong,"Times 10 Publications (June 21, 2022)",4.7
"Murder-on-Sea: Now a major TV series, Whitstable Pearl, starring Kerry Godliman (Whitstable Pearl Mysteries Book 2)",2015,Julie Wassmer,"Constable (October 1, 2015)",4.4
I'm On Pause,2009,Patty Belanger,"Back Channel Press; 1st edition (June 1, 2009)",5.0
The Biggest Cookie in the World (Sesame Street) (Step into Reading),2012,Linda Hayward,"Random House Books for Young Readers (April 25, 2012)",4.4
The Reluctant Fundamentalist,2007,Mohsin Hamid,"Harper Perennial; First edition (April 3, 2007)",4.1
When Nothing Works Try Doing Nothing: How learning to let go will get you where you want to go,2014,Frank J. Kinslow,"Lucid Sea (October 15, 2014)",4.5
Litany of Dreams: An Arkham Horror Novel,2021,Ari Marmell,"Aconyte; Paperback Original edition (April 13, 2021)",4.6
Maigret Takes a Room (Inspector Maigret Book 37),2017,Georges Simenon,"Penguin Books (June 6, 2017)",4.6
Phuck A Forever Piece: The Saga Continues (MY FOREVER PIECE Book 2),2014,Nisha L,"Temptations Publications Inc.; 2nd edition (September 9, 2014)",4.6
The Shining Girls,2013,Lauren Beukes,"Umuzi (April 15, 2013)",4.0
"Come One, Come All (The Pied Piper Circus Book 1)",2022,E. Gilliland,"Bayou Wolf Press (October 18, 2022)",4.5
The Family Tree Guide to DNA Testing and Genetic Genealogy,2019,Blaine T. Bettinger,"Family Tree Books (August 13, 2019)",4.7
The Last Kingdom,2009,Bernard Cornwell,"HarperCollins e-books; Repack edition (March 17, 2009)",4.6
Priest of Crowns (War for the Rose Throne Book 4),2022,Peter McLean,"Jo Fletcher Books (August 4, 2022)",4.6
All He Saw Was The Girl,2011,Peter Leonard,"Faber & Faber; Main edition (January 6, 2011)",4.1
The Tragedy of Brady Sims (Vintage Contemporaries),2017,Ernest J. Gaines,"Vintage (August 29, 2017)",4.4
Truth Worth Telling: A Reporter's Search for Meaning in the Stories of Our Times,2019,Scott Pelley,"Hanover Square Press; Original edition (May 21, 2019)",4.6
Surfacing: A Dark Elf Epic Fantasy (Sister Seekers Book 4),2020,A.S. Etaski,"Corpus~Nexus Press (April 4, 2020)",4.8
Wicked Kayla,2017,Bryan Smith,"Bitter Ale Press (November 23, 2017)",3.9
"Love, Liberation, and Escaping Slavery: William and Ellen Craft in Cultural Memory",2015,Barbara McCaskill,"University of Georgia Press (May 15, 2015)",5.0
A Darker Sky (Canary Island Book 1),2016,Mari Jungstedt,"Amazon Crossing (June 21, 2016)",3.8
Lebanon Red,2022,Luke Mccaffrey,"Black Rose Writing (August 11, 2022)",4.8
Decimated Dreams (Slattery Falls Book 2),2022,Brennan LaFaro,"Crossroad Press (December 13, 2022)",4.9
Bisquick to the Rescue: More than 100 Emergency Meals to Save the Day! (Betty Crocker Cooking),2011,Betty Crocker,"Houghton Mifflin Harcourt; 1st edition (June 9, 2011)",4.5
Adobe Photoshop Lightroom 3 Classroom in a Book,2010,Adobe Creative Team,"Adobe Press; 1st edition (July 7, 2010)",4.1
Advanced Penetration Testing for Highly-Secured Environments: The Ultimate Security Guide (Open Source: Community Experience Distilled),2012,Lee Allen,"Packt Publishing (May 16, 2012)",4.0
Brink (The Ruin Saga Book 2),2015,Harry Manners,"Radden Press (June 19, 2015)",4.2
The Eagle's Conquest (Eagles of the Empire 2),2008,Simon Scarrow,"Headline; paperback / softback edition (September 4, 2008)",4.4
"Illustrator CS2 for Windows and Macintosh: Visual QuickStart Guide, MobPocket",2005,Elaine Weinmann,"Peachpit Press; 1st edition (September 20, 2005)",4.2
The Hellion and the Highlander (Historical Highlands Book 3),2010,Lynsay Sands,"HarperCollins e-books (February 11, 2010)",4.6
King of Hearts: The True Story of the Maverick Who Pioneered Open Heart Surgery,2010,G. Wayne Miller,"Crown; 1st edition (February 6, 2010)",4.7
The Gray Man: a novella,2019,Tim Murr,"St Rooster Books; 1st edition (April 3, 2019)",4.0
"Embroidered Memories: 375 Embroidery Designs • 2 Alphabets • 13 Basic Stitches • For Crazy Quilts, Clothing, Accessories...",2012,Brian Haggard,"C&T Publishing (November 1, 2012)",4.6
The Intimacy of Loss: A Novella (The Friendship Collection),2019,Poornima Manco,"Mango Tree Publications (October 12, 2019)",4.2
The Falcons of Montabard: A Novel,2013,Elizabeth Chadwick,"St. Martin's Press (May 21, 2013)",4.3
The Way of Wanderlust: The Best Travel Writing of Don George (Travelers' Tales),2015,Don George,"Travelers' Tales (August 25, 2015)",4.4
Third Spell's the Charm: Paranormal Mystery (House of Magic Book 3),2022,Susanna Shore,"Crimson House Books (March 27, 2022)",4.6
Standard Catalog of Colt Firearms,2013,James Tarr,"Gun Digest Books; 2nd edition (October 21, 2013)",4.3
Gridlock (Ryan Lock Book 3),2011,Sean Black,"Transworld Digital (August 4, 2011)",4.2
DARK COUNTY,2014,Kit Tinsley,"www.kit-tinsley.com; 1st edition (January 16, 2014)",4.4
Coming of Age in Mississippi: The Classic Autobiography of Growing Up Poor and Black in the Rural South,2011,Anne Moody,"Dell; 1st edition (September 7, 2011)",4.5
"The Art of Cardboard: Big Ideas for Creativity, Collaboration, Storytelling, and Reuse",2015,Lori Zimmer,"Rockport Publishers (July 15, 2015)",4.6
German Europe,2013,Ulrich Beck,"Polity; 1st edition (April 17, 2013)",3.8
The Lock Artist,2010,Steve Hamilton,"Orion (July 8, 2010)",4.4
"And the Weak Suffer What They Must?: Europe, Austerity and the Threat to Global Stability",2016,Yanis Varoufakis,"Vintage Digital; 1st edition (April 7, 2016)",4.5
An Eternity of Roses: A Paranormal Romance (The Valthreans Book 1),2013,Natalie G. Owens,"Rose of Atlantis Press (January 5, 2013)",4.9
Origami Volume 2 (Easy to Learn),2013,Dr. Hooelz,"Marito Corporation; First edition (December 9, 2013)",3.2
Michael Belmont and the Heir of Van Helsing (The Adventures of Michael Belmont Book 2),2012,Ethan Erway,"Frozen Armadillo Publishing; 1st edition (November 12, 2012)",4.6
The 4th Reich Book 1 Part 1,2012,Patrick Laughy,"Patrick Laughy (July 1, 2012)",3.8
The Complete Guide to High-End Audio,2015,Robert Harley,"Acapella Publishing; Fifth Edition, Fifth edition (March 1, 2015)",4.6
Caedmon's Song,2003,Peter Robinson,"Macmillan; Reprints edition (September 1, 2003)",3.7
Wild Women in the Kitchen: 101 Rambunctious Recipes & 99 Tasty Tales,1996,Nicole Alper,"Conari Press (June 1, 1996)",4.6
Silent Screams (Lee Campbell Book 1),2009,C. E. Lawrence,"Pinnacle Books; Original edition (November 12, 2009)",3.9
The Best War Stories Ever Told (Best Stories Ever Told),2011,Stephen Brennan,"Skyhorse; Illustrated edition (September 15, 2011)",4.0
"Pro Microsoft Power BI Administration: Creating a Consistent, Compliant, and Secure Corporate Platform for Business Intelligence",2020,Michael Johnson,"Apress; 1st ed. edition (November 24, 2020)",4.4
Inherit the Dead,2013,Mark Billingham,"Simon & Schuster UK; UK ed. edition (October 10, 2013)",4.0
"One Woman's Army: A Black Officer Remembers the WAC (Texas A & M University Military History Series, #12)",1995,Charity Adams Earley,"Texas A&M University Press (October 1, 1995)",4.7
BeadCreator Showcase,2011,Andrew Simmons,"TFM Publishing; 1st edition (April 30, 2011)",3.8
No Higher Honor: A Memoir of My Years in Washington,2011,Condoleezza Rice,"Crown; 1st edition (November 1, 2011)",4.6
Dunedrifter (Warlords of the Sandsea Book 2),2018,Elisabeth Wheatley,"Avowed Publishing and Media, LLC (February 27, 2018)",4.2
Bella Gets Lost: A Bella the Cat Book (US version),2018,Reading Eggs,"Blake eLearning (December 12, 2018)",4.2
"Boarding School Seasons: American Indian Families, 1900-1940 (North American Indian Prose Award)",2000,Brenda J. Child,"University of Nebraska Press (February 1, 2000)",4.5
The Way of a Gardener: A Life's Journey,2010,Des Kennedy,"Greystone Books (April 1, 2010)",4.1
A Steady Trade: A Boyhood at Sea,2014,Tristan Jones,"Open Road Media (April 1, 2014)",4.5
Between You & Me: Confessions of a Comma Queen,2015,Mary Norris,"Text Publishing (April 22, 2015)",4.2
The Haunting of Alexas Hotel (Ghosts of Los Angeles Book 3),2020,Dominika Best,"Dupin Press (August 21, 2020)",4.5
Just Ignore Him: A BBC Two Between the Covers book club pick,2020,Alan Davies,"Little, Brown Book Group (September 1, 2020)",4.6
U2 - 18 Singles Songbook (Guitar Recorded Versions),2007,U2,"Hal Leonard; Illustrated edition (April 1, 2007)",4.5
Eclipse of the Sun: A Dystopian Fantasy (Inoki's Game Book 2),2018,I. A. Ashcroft,"Lucid Dreams Publishing (February 22, 2018)",5.0
Break No Bones: A Novel (Temperance Brennan Book 9),2006,Kathy Reichs,"Scribner (July 11, 2006)",4.5
Dark Secrets: Stone Cold Dead,2015,Shea Berkley,"Thursday Publishing (January 31, 2015)",3.5
"A Devilish Disappearance: Original Sweet Edition (Cats, Ghosts, and Avocado Toast Book 3)",2018,N.M. Howell,"Dungeon Media Corp. (July 13, 2018)",4.5
The Collected Works of Stephen Crane (Unexpurgated Edition) (Halcyon Classics),2009,Stephen Crane,"Halcyon Press Ltd.; First edition (July 27, 2009)",5.0
Sherlock Sam and the Ghostly Moans in Fort Canning: book two,2016,A.J. Low,"Andrews McMeel Publishing (August 2, 2016)",4.4
Death in a Stately Home: An English Village Murder Mystery (Murder on Location Book 3),2015,Sara Rosett,"Sara Rosett (November 9, 2015)",4.4
The Binding (Unexpected Magic Book 1),2016,Samantha Jacobey,"Lavish Publishing, LLC (November 28, 2016)",3.9
